locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WD05_00001	CDS	279	rps19			ribosomal protein S19
P002_WD05_00002	CDS	468	rpl22			ribosomal protein L22
P002_WD05_00003	CDS	657	rps3			ribosomal protein S3
P002_WD05_00004	CDS	111				hypothetical protein
P002_WD05_00005	CDS	360	rpl16			ribosomal protein L16
P002_WD05_00006	CDS	369	rpl14			ribosomal protein L14
P002_WD05_00007	CDS	405	rps8			ribosomal protein S8
P002_WD05_00008	CDS	234	infA			translational initiation factor 1
P002_WD05_00009	CDS	240				hypothetical protein
P002_WD05_00010	CDS	417	rps11			ribosomal protein S11
P002_WD05_00011	CDS	834	rpoA			RNA polymerase alpha subunit
P002_WD05_00012	CDS	525	petD			cytochrome b6/f complex subunit IV
P002_WD05_00013	CDS	489	petB			cytochrome b6
P002_WD05_00014	CDS	360	psbH			Photosystem II reaction center protein H
P002_WD05_00015	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WD05_00016	CDS	225	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WD05_00017	CDS	222	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WD05_00018	CDS	387	rpl20			ribosomal protein L20
P002_WD05_00019	CDS	345				hypothetical protein
P002_WD05_00020	CDS	141	psaJ			photosystem I subunit IX
P002_WD05_00021	tRNA	76				tRNA-Pro(tgg)
P002_WD05_00022	tRNA	75				tRNA-Trp(cca)
P002_WD05_00023	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WD05_00024	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WD05_00025	CDS	123	psbJ			photosystem II protein J
P002_WD05_00026	CDS	963	petA			cytochrome f
P002_WD05_00027	CDS	690	cemA			envelope membrane protein
P002_WD05_00028	CDS	240				hypothetical protein
P002_WD05_00029	CDS	108				hypothetical protein
P002_WD05_00030	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WD05_00031	CDS	111	psaI			photosystem I subunit VIII
