locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WD06_00001	CDS	225				hypothetical protein
P003_WD06_00002	CDS	216				hypothetical protein
P003_WD06_00003	CDS	588				hypothetical protein
P003_WD06_00004	CDS	354				hypothetical protein
P003_WD06_00005	tRNA	74				tRNA-Asn(gtt)
P003_WD06_00006	tRNA	75				tRNA-Arg(acg)
P003_WD06_00007	rRNA	3011				23S ribosomal RNA
P003_WD06_00008	CDS	249				hypothetical protein
P003_WD06_00009	CDS	150				hypothetical protein
P003_WD06_00010	CDS	408				hypothetical protein
P003_WD06_00011	CDS	249				hypothetical protein
P003_WD06_00012	rRNA	1487				16S ribosomal RNA
P003_WD06_00013	tRNA	72				tRNA-Val(gac)
P003_WD06_00014	CDS	219				hypothetical protein
P003_WD06_00015	CDS	222				hypothetical protein
P003_WD06_00016	CDS	171				hypothetical protein
P003_WD06_00017	CDS	468	rps7			ribosomal protein S7
P003_WD06_00018	CDS	741	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P003_WD06_00019	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P003_WD06_00020	tRNA	83				tRNA-Leu(caa)
P003_WD06_00021	CDS	324				hypothetical protein
P003_WD06_00022	CDS	6903				hypothetical protein
P003_WD06_00023	tRNA	74				tRNA-Met(cat)
P003_WD06_00024	CDS	282	rpl23			ribosomal protein L23
P003_WD06_00025	CDS	339	rpl2_1			ribosomal protein L2
P003_WD06_00026	CDS	117				hypothetical protein
P003_WD06_00027	CDS	498	rpl2_2			ribosomal protein L2
P003_WD06_00028	CDS	279	rps19			ribosomal protein S19
P003_WD06_00029	CDS	540				hypothetical protein
P003_WD06_00030	CDS	657	rps3			ribosomal protein S3
P003_WD06_00031	CDS	156				hypothetical protein
P003_WD06_00032	CDS	231				hypothetical protein
P003_WD06_00033	CDS	360	rpl16			ribosomal protein L16
P003_WD06_00034	CDS	369	rpl14			ribosomal protein L14
P003_WD06_00035	CDS	399	rps8			ribosomal protein S8
P003_WD06_00036	CDS	417	rps11			ribosomal protein S11
P003_WD06_00037	CDS	1041	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P003_WD06_00038	CDS	552	petD			cytochrome b6/f complex subunit IV
P003_WD06_00039	CDS	489	petB			cytochrome b6
P003_WD06_00040	CDS	222	psbH			photosystem II phosphoprotein
P003_WD06_00041	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WD06_00042	CDS	123				hypothetical protein
P003_WD06_00043	CDS	243				hypothetical protein
P003_WD06_00044	CDS	273	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WD06_00045	CDS	240	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WD06_00046	CDS	366	rpl20			ribosomal protein L20
P003_WD06_00047	CDS	306	rps18			ribosomal protein S18
P003_WD06_00048	CDS	129				hypothetical protein
P003_WD06_00049	tRNA	74				tRNA-Pro(tgg)
P003_WD06_00050	tRNA	75				tRNA-Trp(cca)
P003_WD06_00051	CDS	405				hypothetical protein
P003_WD06_00052	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P003_WD06_00053	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P003_WD06_00054	CDS	930	petA			cytochrome f
P003_WD06_00055	CDS	762	cemA			envelope membrane protein
P003_WD06_00056	CDS	648	ycf4			photosystem I assembly protein Ycf4
P003_WD06_00057	CDS	111	psaI			photosystem I subunit VIII
P003_WD06_00058	CDS	1491	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P003_WD06_00059	CDS	234				hypothetical protein
P003_WD06_00060	CDS	1449	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WD06_00061	CDS	159				hypothetical protein
P003_WD06_00062	CDS	1500	atpB			ATP synthase CF1 beta subunit
P003_WD06_00063	CDS	399	atpE			ATP synthase CF1 epsilon subunit
P003_WD06_00064	tRNA	73				tRNA-Met(cat)
P003_WD06_00065	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WD06_00066	CDS	684	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WD06_00067	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WD06_00068	CDS	192				hypothetical protein
P003_WD06_00069	CDS	99				hypothetical protein
P003_WD06_00070	tRNA	73				tRNA-Phe(gaa)
P003_WD06_00071	tRNA	75				tRNA-Thr(tgt)
P003_WD06_00072	CDS	606	rps4			ribosomal protein S4
P003_WD06_00073	tRNA	87				tRNA-Ser(gga)
P003_WD06_00074	CDS	105				hypothetical protein
P003_WD06_00075	CDS	249	ycf3			hypothetical chloroplast RF34
P003_WD06_00076	CDS	2253	psaA			photosystem I P700 apoprotein A1
P003_WD06_00077	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WD06_00078	CDS	213				hypothetical protein
P003_WD06_00079	tRNA	74				tRNA-Met(cat)
P003_WD06_00080	tRNA	71				tRNA-Gly(gcc)
P003_WD06_00081	CDS	297				hypothetical protein
P003_WD06_00082	tRNA	93				tRNA-Ser(tga)
P003_WD06_00083	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P003_WD06_00084	CDS	1062	psbD			photosystem II protein D2
P003_WD06_00085	CDS	420				hypothetical protein
P003_WD06_00086	tRNA	74				tRNA-Thr(ggt)
P003_WD06_00087	tRNA	75				tRNA-Glu(ttc)
P003_WD06_00088	tRNA	86				tRNA-Tyr(gta)
P003_WD06_00089	tRNA	78				tRNA-Asp(gtc)
P003_WD06_00090	CDS	186				hypothetical protein
P003_WD06_00091	tRNA	71				tRNA-Cys(gca)
P003_WD06_00092	CDS	3249	rpoB			RNA polymerase beta subunit
P003_WD06_00093	CDS	468	rpoC1_1			RNA polymerase beta' subunit
P003_WD06_00094	CDS	1647	rpoC1_2			RNA polymerase beta' subunit
P003_WD06_00095	CDS	4227	rpoC2			RNA polymerase beta'' subunit
P003_WD06_00096	CDS	807	rps2			ribosomal protein S2
P003_WD06_00097	CDS	744	atpI			ATP synthase CF0 subunit IV
P003_WD06_00098	CDS	321	atpH			ATP synthase subunit c
P003_WD06_00099	CDS	258				hypothetical protein
P003_WD06_00100	CDS	255				hypothetical protein
P003_WD06_00101	CDS	375	atpF			ATP synthase CF0 subunit I
P003_WD06_00102	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P003_WD06_00103	tRNA	72				tRNA-Arg(tct)
P003_WD06_00104	tRNA	88				tRNA-Ser(gct)
P003_WD06_00105	CDS	186	psbK			photosystem II protein K
P003_WD06_00106	tRNA	72				tRNA-Gln(ttg)
P003_WD06_00107	CDS	1527	matK			maturase K
P003_WD06_00108	CDS	1062	psbA			photosystem II protein D1
P003_WD06_00109	CDS	243				hypothetical protein
P003_WD06_00110	tRNA	75				tRNA-His(gtg)
P003_WD06_00111	CDS	2292	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P003_WD06_00112	CDS	234				hypothetical protein
P003_WD06_00113	CDS	108				hypothetical protein
P003_WD06_00114	tRNA	80				tRNA-Leu(tag)
P003_WD06_00115	CDS	972	ccsA			cytochrome c heme attachment protein
P003_WD06_00116	CDS	1527	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WD06_00117	CDS	321	psaC	1.97.1.12		Photosystem I iron-sulfur center
P003_WD06_00118	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WD06_00119	CDS	699				hypothetical protein
P003_WD06_00120	CDS	534	ndhI			NADH-plastoquinone oxidoreductase subunit I
P003_WD06_00121	CDS	270	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P003_WD06_00122	CDS	624	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P003_WD06_00123	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WD06_00124	CDS	273	rps15			ribosomal protein S15
P003_WD06_00125	CDS	4644				hypothetical protein
