locus_tag	ftype	length_bp	gene	EC_number	COG	product
P004_WG01_00001	CDS	354	rplT		COG0292	50S ribosomal protein L20
P004_WG01_00002	CDS	156				hypothetical protein
P004_WG01_00003	CDS	306	rps18			ribosomal protein S18
P004_WG01_00004	CDS	135	psaJ			photosystem I subunit IX
P004_WG01_00005	tRNA	76				tRNA-Pro(tgg)
P004_WG01_00006	tRNA	74				tRNA-Trp(cca)
P004_WG01_00007	CDS	165				hypothetical protein
P004_WG01_00008	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P004_WG01_00009	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P004_WG01_00010	CDS	123	psbJ			photosystem II protein J
P004_WG01_00011	CDS	963	petA			cytochrome f
P004_WG01_00012	CDS	729	cemA			envelope membrane protein
P004_WG01_00013	CDS	555	ycf4			photosystem I assembly protein Ycf4
P004_WG01_00014	CDS	114	psaI			photosystem I subunit VIII
P004_WG01_00015	CDS	1380	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P004_WG01_00016	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P004_WG01_00017	CDS	1479	atpB			ATP synthase CF1 beta subunit
P004_WG01_00018	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P004_WG01_00019	tRNA	73				tRNA-Met(cat)
P004_WG01_00020	CDS	138				hypothetical protein
P004_WG01_00021	CDS	438	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P004_WG01_00022	CDS	681	ndhK			NADH-plastoquinone oxidoreductase subunit K
P004_WG01_00023	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P004_WG01_00024	CDS	150				hypothetical protein
P004_WG01_00025	tRNA	74				tRNA-Phe(gaa)
P004_WG01_00026	CDS	246				hypothetical protein
P004_WG01_00027	tRNA	75				tRNA-Thr(tgt)
P004_WG01_00028	CDS	606	rps4			ribosomal protein S4
P004_WG01_00029	tRNA	87				tRNA-Ser(gga)
P004_WG01_00030	CDS	201				hypothetical protein
P004_WG01_00031	CDS	258				hypothetical protein
P004_WG01_00032	CDS	249	ycf3_1			hypothetical chloroplast RF34
P004_WG01_00033	CDS	213	ycf3_2			Photosystem I assembly protein Ycf3
P004_WG01_00034	CDS	2253	psaA			photosystem I P700 apoprotein A1
P004_WG01_00035	CDS	2205	psaB			photosystem I P700 apoprotein A2
P004_WG01_00036	CDS	180				hypothetical protein
P004_WG01_00037	tRNA	75				tRNA-Met(cat)
P004_WG01_00038	tRNA	72				tRNA-Gly(gcc)
P004_WG01_00039	CDS	189	psbZ			photosystem II protein Z
P004_WG01_00040	tRNA	93				tRNA-Ser(tga)
P004_WG01_00041	CDS	1380	psbC			photosystem II CP43 chlorophyll apoprotein
P004_WG01_00042	CDS	1062	psbD			photosystem II protein D2
P004_WG01_00043	tRNA	74				tRNA-Thr(ggt)
P004_WG01_00044	tRNA	75				tRNA-Glu(ttc)
P004_WG01_00045	tRNA	86				tRNA-Tyr(gta)
P004_WG01_00046	tRNA	77				tRNA-Asp(gtc)
P004_WG01_00047	CDS	156				hypothetical protein
P004_WG01_00048	tRNA	71				tRNA-Cys(gca)
P004_WG01_00049	CDS	162				hypothetical protein
P004_WG01_00050	CDS	285				hypothetical protein
P004_WG01_00051	CDS	3213	rpoB			RNA polymerase beta subunit
P004_WG01_00052	CDS	438	rpoC1_1			RNA polymerase beta' subunit
P004_WG01_00053	CDS	1641	rpoC1_2			RNA polymerase beta' subunit
P004_WG01_00054	CDS	4149	rpoC2			RNA polymerase beta'' subunit
P004_WG01_00055	CDS	723	rps2			ribosomal protein S2
P004_WG01_00056	CDS	744	atpI			ATP synthase CF0 subunit IV
P004_WG01_00057	CDS	246	atpH			ATP synthase CF0 subunit III
P004_WG01_00058	CDS	555	atpF			ATP synthase CF0 subunit I
P004_WG01_00059	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P004_WG01_00060	tRNA	72				tRNA-Arg(tct)
P004_WG01_00061	tRNA	88				tRNA-Ser(gct)
P004_WG01_00062	CDS	174	psbI			Photosystem II reaction center protein I
P004_WG01_00063	CDS	195	psbK			photosystem II protein K
P004_WG01_00064	tRNA	72				tRNA-Gln(ttg)
P004_WG01_00065	tRNA	74				tRNA-Asn(gtt)
P004_WG01_00066	tRNA	75				tRNA-Arg(acg)
P004_WG01_00067	rRNA	3010				23S ribosomal RNA
P004_WG01_00068	CDS	276				hypothetical protein
P004_WG01_00069	CDS	105				hypothetical protein
P004_WG01_00070	rRNA	1487				16S ribosomal RNA
P004_WG01_00071	tRNA	72				tRNA-Val(gac)
P004_WG01_00072	CDS	270				hypothetical protein
P004_WG01_00073	CDS	153				hypothetical protein
P004_WG01_00074	CDS	276				hypothetical protein
P004_WG01_00075	CDS	468	rps7			ribosomal protein S7
P004_WG01_00076	CDS	741	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P004_WG01_00077	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P004_WG01_00078	CDS	177				hypothetical protein
P004_WG01_00079	tRNA	83				tRNA-Leu(caa)
P004_WG01_00080	CDS	6822				hypothetical protein
P004_WG01_00081	tRNA	75				tRNA-Met(cat)
P004_WG01_00082	CDS	282	rpl23			ribosomal protein L23
P004_WG01_00083	CDS	402	rpl2_1			ribosomal protein L2
P004_WG01_00084	CDS	111				hypothetical protein
P004_WG01_00085	CDS	429	rpl2_2			ribosomal protein L2
P004_WG01_00086	CDS	144				hypothetical protein
P004_WG01_00087	CDS	222	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P004_WG01_00088	CDS	375	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P004_WG01_00089	CDS	174				hypothetical protein
P004_WG01_00090	CDS	162				hypothetical protein
P004_WG01_00091	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P004_WG01_00092	CDS	219	psbH			photosystem II phosphoprotein
P004_WG01_00093	CDS	183				hypothetical protein
P004_WG01_00094	CDS	489	petB			cytochrome b6
P004_WG01_00095	CDS	447	petD			cytochrome b6/f complex subunit IV
P004_WG01_00096	CDS	996	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P004_WG01_00097	CDS	417	rps11			ribosomal protein S11
P004_WG01_00098	CDS	261	infA			Translation initiation factor IF-1
P004_WG01_00099	CDS	129				hypothetical protein
P004_WG01_00100	CDS	405	rps8			ribosomal protein S8
P004_WG01_00101	CDS	369	rpl14			ribosomal protein L14
P004_WG01_00102	CDS	363	rpl16			ribosomal protein L16
P004_WG01_00103	CDS	276				hypothetical protein
P004_WG01_00104	CDS	279				hypothetical protein
P004_WG01_00105	CDS	657	rps3			ribosomal protein S3
P004_WG01_00106	CDS	429	rpl22			ribosomal protein L22
P004_WG01_00107	CDS	279	rps19			ribosomal protein S19
P004_WG01_00108	CDS	1503	matK			maturase K
P004_WG01_00109	CDS	1062	psbA			photosystem II protein D1
P004_WG01_00110	tRNA	75				tRNA-His(gtg)
P004_WG01_00111	CDS	279				hypothetical protein
P004_WG01_00112	CDS	2244	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P004_WG01_00113	CDS	153				hypothetical protein
P004_WG01_00114	tRNA	80				tRNA-Leu(tag)
P004_WG01_00115	CDS	966	ccsA			cytochrome c heme attachment protein
P004_WG01_00116	CDS	1503	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P004_WG01_00117	CDS	246	psaC			photosystem I subunit VII
P004_WG01_00118	CDS	303	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P004_WG01_00119	CDS	573	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P004_WG01_00120	CDS	519	ndhI			NADH-plastoquinone oxidoreductase subunit I
P004_WG01_00121	CDS	486	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P004_WG01_00122	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P004_WG01_00123	CDS	1209	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P004_WG01_00124	CDS	273	rps15			ribosomal protein S15
P004_WG01_00125	CDS	4758				hypothetical protein
