locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WD09_00001	CDS	279	rps19			ribosomal protein S19
P001_WD09_00002	CDS	492	rpl22			ribosomal protein L22
P001_WD09_00003	CDS	660	rps3			ribosomal protein S3
P001_WD09_00004	CDS	222				hypothetical protein
P001_WD09_00005	CDS	201				hypothetical protein
P001_WD09_00006	CDS	249	rpl16			ribosomal protein L16
P001_WD09_00007	CDS	369	rpl14			ribosomal protein L14
P001_WD09_00008	CDS	450	rps8			ribosomal protein S8
P001_WD09_00009	CDS	417	rps11			ribosomal protein S11
P001_WD09_00010	CDS	1005	rpoA			RNA polymerase alpha subunit
P001_WD09_00011	CDS	525	petD			cytochrome b6/f complex subunit IV
P001_WD09_00012	CDS	489	petB			cytochrome b6
P001_WD09_00013	CDS	165				hypothetical protein
P001_WD09_00014	CDS	180				hypothetical protein
P001_WD09_00015	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WD09_00016	CDS	225	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WD09_00017	CDS	222	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P001_WD09_00018	CDS	294				hypothetical protein
P001_WD09_00019	CDS	363	rpl20			ribosomal protein L20
P001_WD09_00020	CDS	318	rps18			ribosomal protein S18
P001_WD09_00021	CDS	207				hypothetical protein
P001_WD09_00022	CDS	138	psaJ			photosystem I subunit IX
P001_WD09_00023	tRNA	76				tRNA-Pro(tgg)
P001_WD09_00024	tRNA	74				tRNA-Trp(cca)
P001_WD09_00025	CDS	114	petG			cytochrome b6/f complex subunit V
P001_WD09_00026	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_WD09_00027	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P001_WD09_00028	CDS	123	psbJ			photosystem II protein J
P001_WD09_00029	CDS	168				hypothetical protein
P001_WD09_00030	CDS	960	petA			cytochrome f
P001_WD09_00031	CDS	690	cemA			envelope membrane protein
P001_WD09_00032	CDS	555	ycf4			photosystem I assembly protein Ycf4
P001_WD09_00033	CDS	1503	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P001_WD09_00034	CDS	1443	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P001_WD09_00035	CDS	1503	atpB			ATP synthase CF1 beta subunit
P001_WD09_00036	CDS	399	atpE			ATP synthase CF1 epsilon subunit
P001_WD09_00037	tRNA	73				tRNA-Met(cat)
P001_WD09_00038	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P001_WD09_00039	CDS	690	ndhK			NADH-plastoquinone oxidoreductase subunit K
P001_WD09_00040	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
