locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WG10_00001	CDS	603				hypothetical protein
P001_WG10_00002	CDS	339	rpl2			ribosomal protein L2
P001_WG10_00003	CDS	282	rpl23			ribosomal protein L23
P001_WG10_00004	tRNA	75				tRNA-Met(cat)
P001_WG10_00005	CDS	6846				hypothetical protein
P001_WG10_00006	tRNA	83				tRNA-Leu(caa)
P001_WG10_00007	CDS	195				hypothetical protein
P001_WG10_00008	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P001_WG10_00009	CDS	189				hypothetical protein
P001_WG10_00010	CDS	795	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P001_WG10_00011	CDS	468	rps7			ribosomal protein S7
P001_WG10_00012	tRNA	72				tRNA-Val(gac)
P001_WG10_00013	rRNA	1487				16S ribosomal RNA
P001_WG10_00014	CDS	285				hypothetical protein
P001_WG10_00015	CDS	204				hypothetical protein
P001_WG10_00016	CDS	237				hypothetical protein
P001_WG10_00017	CDS	114				hypothetical protein
P001_WG10_00018	CDS	249				hypothetical protein
P001_WG10_00019	rRNA	3011				23S ribosomal RNA
P001_WG10_00020	tRNA	75				tRNA-Arg(acg)
P001_WG10_00021	CDS	192				hypothetical protein
P001_WG10_00022	tRNA	74				tRNA-Asn(gtt)
P001_WG10_00023	CDS	474				hypothetical protein
P001_WG10_00024	CDS	2214	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P001_WG10_00025	CDS	201				hypothetical protein
P001_WG10_00026	tRNA	80				tRNA-Leu(tag)
P001_WG10_00027	CDS	969	ccsA			cytochrome c heme attachment protein
P001_WG10_00028	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P001_WG10_00029	CDS	246	psaC			photosystem I subunit VII
P001_WG10_00030	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P001_WG10_00031	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P001_WG10_00032	CDS	501	ndhI			NADH-plastoquinone oxidoreductase subunit I
