locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WD03_00001	CDS	609				hypothetical protein
P002_WD03_00002	CDS	402	rpl2			ribosomal protein L2
P002_WD03_00003	CDS	282	rpl23			ribosomal protein L23
P002_WD03_00004	tRNA	75				tRNA-Met(cat)
P002_WD03_00005	CDS	6858				hypothetical protein
P002_WD03_00006	tRNA	83				tRNA-Leu(caa)
P002_WD03_00007	CDS	177				hypothetical protein
P002_WD03_00008	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WD03_00009	CDS	111				hypothetical protein
P002_WD03_00010	CDS	741	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WD03_00011	CDS	468	rps7			ribosomal protein S7
P002_WD03_00012	CDS	321				hypothetical protein
P002_WD03_00013	tRNA	72				tRNA-Val(gac)
P002_WD03_00014	rRNA	1487				16S ribosomal RNA
P002_WD03_00015	rRNA	1243				23S ribosomal RNA (partial)
P002_WD03_00016	tRNA	75				tRNA-Arg(acg)
P002_WD03_00017	CDS	114				hypothetical protein
P002_WD03_00018	tRNA	74				tRNA-Asn(gtt)
P002_WD03_00019	CDS	2220	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P002_WD03_00020	tRNA	80				tRNA-Leu(tag)
P002_WD03_00021	CDS	969	ccsA			cytochrome c heme attachment protein
P002_WD03_00022	CDS	1383	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WD03_00023	CDS	246	psaC			photosystem I subunit VII
P002_WD03_00024	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WD03_00025	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WD03_00026	CDS	501	ndhI			NADH-plastoquinone oxidoreductase subunit I
P002_WD03_00027	CDS	471	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P002_WD03_00028	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P002_WD03_00029	CDS	1236	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WD03_00030	CDS	279	rps15			ribosomal protein S15
P002_WD03_00031	CDS	4611				hypothetical protein
P002_WD03_00032	CDS	216				hypothetical protein
P002_WD03_00033	CDS	114				hypothetical protein
P002_WD03_00034	rRNA	1909				23S ribosomal RNA (partial)
P002_WD03_00035	CDS	279	rps19			ribosomal protein S19
P002_WD03_00036	CDS	462	rpl22			ribosomal protein L22
P002_WD03_00037	CDS	657	rps3			ribosomal protein S3
P002_WD03_00038	CDS	360	rpl16			ribosomal protein L16
P002_WD03_00039	CDS	369	rpl14			ribosomal protein L14
P002_WD03_00040	CDS	405	rps8			ribosomal protein S8
P002_WD03_00041	CDS	234	infA			translational initiation factor 1
P002_WD03_00042	CDS	411	rps11			ribosomal protein S11
P002_WD03_00043	CDS	1008	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P002_WD03_00044	CDS	525	petD			cytochrome b6/f complex subunit IV
P002_WD03_00045	CDS	489	petB			cytochrome b6
P002_WD03_00046	CDS	270				hypothetical protein
P002_WD03_00047	CDS	222	psbH			photosystem II phosphoprotein
P002_WD03_00048	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WD03_00049	CDS	315	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WD03_00050	CDS	222	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WD03_00051	CDS	381	rpl20			ribosomal protein L20
P002_WD03_00052	CDS	306	rps18			ribosomal protein S18
P002_WD03_00053	CDS	201	rpl33			ribosomal protein L33
P002_WD03_00054	CDS	135	psaJ			photosystem I subunit IX
P002_WD03_00055	tRNA	76				tRNA-Pro(tgg)
P002_WD03_00056	tRNA	74				tRNA-Trp(cca)
P002_WD03_00057	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WD03_00058	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WD03_00059	CDS	123	psbJ			photosystem II protein J
P002_WD03_00060	CDS	963	petA			cytochrome f
P002_WD03_00061	CDS	690	cemA			envelope membrane protein
P002_WD03_00062	CDS	633	ycf4			photosystem I assembly protein Ycf4
P002_WD03_00063	CDS	1434	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WD03_00064	CDS	1458	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WD03_00065	CDS	291				hypothetical protein
P002_WD03_00066	CDS	1482	atpB			ATP synthase CF1 beta subunit
P002_WD03_00067	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P002_WD03_00068	tRNA	73				tRNA-Met(cat)
P002_WD03_00069	CDS	237				hypothetical protein
