locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WG04_00001	CDS	219				hypothetical protein
P001_WG04_00002	tRNA	74				tRNA-Gln(ttg)
P001_WG04_00003	CDS	609	rps4			ribosomal protein S4
P001_WG04_00004	CDS	558	ycf4			photosystem I assembly protein Ycf4
P001_WG04_00005	CDS	690	cemA			envelope membrane protein
P001_WG04_00006	CDS	969	petA			cytochrome f
P001_WG04_00007	CDS	123	psbJ			photosystem II protein J
P001_WG04_00008	CDS	153	psbF			Cytochrome b559 subunit beta
P001_WG04_00009	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_WG04_00010	CDS	192				hypothetical protein
P001_WG04_00011	CDS	114	petG			cytochrome b6/f complex subunit V
P001_WG04_00012	tRNA	74				tRNA-Trp(cca)
P001_WG04_00013	tRNA	76				tRNA-Pro(tgg)
P001_WG04_00014	CDS	174				hypothetical protein
P001_WG04_00015	CDS	249				hypothetical protein
P001_WG04_00016	CDS	648				hypothetical protein
P001_WG04_00017	CDS	384	rplT			50S ribosomal protein L20
P001_WG04_00018	tRNA	78				tRNA-Met(cat)
P001_WG04_00019	tRNA	72				tRNA-Gly(gcc)
P001_WG04_00020	CDS	189	psbZ			photosystem II protein Z
P001_WG04_00021	tRNA	88				tRNA-Ser(tga)
P001_WG04_00022	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P001_WG04_00023	CDS	1062	psbD			photosystem II protein D2
P001_WG04_00024	tRNA	72				tRNA-Thr(agt)
P001_WG04_00025	CDS	210				hypothetical protein
P001_WG04_00026	tRNA	72				tRNA-Glu(ttc)
P001_WG04_00027	tRNA	84				tRNA-Tyr(gta)
P001_WG04_00028	tRNA	76				tRNA-Asp(gtc)
P001_WG04_00029	CDS	159				hypothetical protein
P001_WG04_00030	CDS	105	psbM			photosystem II protein M
P001_WG04_00031	tRNA	71				tRNA-Cys(gca)
P001_WG04_00032	CDS	705	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
P001_WG04_00033	CDS	261				hypothetical protein
P001_WG04_00034	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P001_WG04_00035	CDS	177				hypothetical protein
P001_WG04_00036	tRNA	83				tRNA-Leu(caa)
P001_WG04_00037	CDS	282				hypothetical protein
P001_WG04_00038	tRNA	75				tRNA-Thr(tgt)
P001_WG04_00039	CDS	1107	psbA			photosystem II protein D1
P001_WG04_00040	CDS	303				hypothetical protein
P001_WG04_00041	tRNA	75				tRNA-His(gtg)
P001_WG04_00042	CDS	474	rpl2_1			ribosomal protein L2
P001_WG04_00043	CDS	396	rpl2_2			ribosomal protein L2
P001_WG04_00044	tRNA	75				tRNA-Met(cat)
P001_WG04_00045	CDS	411				hypothetical protein
P001_WG04_00046	CDS	279				hypothetical protein
P001_WG04_00047	CDS	255				hypothetical protein
P001_WG04_00048	CDS	492	accD_1	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P001_WG04_00049	CDS	1560	matK			maturase K
P001_WG04_00050	CDS	894	rps3			ribosomal protein S3
P001_WG04_00051	CDS	477	rpl16_1			ribosomal protein L16
P001_WG04_00052	CDS	369	rpl14			ribosomal protein L14
P001_WG04_00053	CDS	390	rps8			ribosomal protein S8
