locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WG03_00001	CDS	1062	psbA			photosystem II protein D1
P002_WG03_00002	CDS	1539	matK			maturase K
P002_WG03_00003	tRNA	72				tRNA-Gln(ttg)
P002_WG03_00004	CDS	318	psbK			Photosystem II reaction center protein K
P002_WG03_00005	CDS	111	psbI			Photosystem II reaction center protein I
P002_WG03_00006	tRNA	91				tRNA-Ser(gct)
P002_WG03_00007	CDS	222				hypothetical protein
P002_WG03_00008	tRNA	72				tRNA-Arg(tct)
P002_WG03_00009	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P002_WG03_00010	CDS	375	atpF_1			ATP synthase CF0 subunit I
P002_WG03_00011	CDS	171	atpF_2			ATP synthase CF0 subunit I
P002_WG03_00012	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WG03_00013	CDS	183				hypothetical protein
P002_WG03_00014	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WG03_00015	CDS	723	rps2			ribosomal protein S2
P002_WG03_00016	CDS	4137	rpoC2			RNA polymerase beta'' subunit
P002_WG03_00017	CDS	1641	rpoC1_1			RNA polymerase beta' subunit
P002_WG03_00018	CDS	282				hypothetical protein
P002_WG03_00019	CDS	459	rpoC1_2			RNA polymerase beta' subunit
P002_WG03_00020	CDS	3207	rpoB			RNA polymerase beta subunit
P002_WG03_00021	tRNA	71				tRNA-Cys(gca)
P002_WG03_00022	tRNA	76				tRNA-Asp(gtc)
P002_WG03_00023	tRNA	86				tRNA-Tyr(gta)
P002_WG03_00024	tRNA	75				tRNA-Glu(ttc)
P002_WG03_00025	tRNA	74				tRNA-Thr(ggt)
P002_WG03_00026	CDS	282				hypothetical protein
P002_WG03_00027	CDS	1062	psbD			photosystem II protein D2
P002_WG03_00028	CDS	1380	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WG03_00029	tRNA	95				tRNA-Ser(tga)
P002_WG03_00030	CDS	273	psbZ			Photosystem II reaction center protein Z
P002_WG03_00031	tRNA	72				tRNA-Gly(gcc)
P002_WG03_00032	tRNA	75				tRNA-Met(cat)
P002_WG03_00033	CDS	303	rps14			ribosomal protein S14
P002_WG03_00034	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WG03_00035	CDS	2253	psaA			photosystem I P700 apoprotein A1
