locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WD01_00001	CDS	534	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P003_WD01_00002	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WD01_00003	CDS	246	psaC			photosystem I subunit VII
P003_WD01_00004	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WD01_00005	CDS	963	ccsA			cytochrome c heme attachment protein
P003_WD01_00006	tRNA	80				tRNA-Leu(tag)
P003_WD01_00007	CDS	204	rpl32			ribosomal protein L32
P003_WD01_00008	CDS	264				hypothetical protein
P003_WD01_00009	rRNA	1523				16S ribosomal RNA
P003_WD01_00010	CDS	216				hypothetical protein
P003_WD01_00011	CDS	105				hypothetical protein
P003_WD01_00012	CDS	249				hypothetical protein
P003_WD01_00013	rRNA	2806				23S ribosomal RNA
P003_WD01_00014	tRNA	74				tRNA-Arg(acg)
P003_WD01_00015	tRNA	74				tRNA-Asn(gtt)
P003_WD01_00016	tRNA	74				tRNA-His(gtg)
P003_WD01_00017	CDS	954	psbA			photosystem II protein D1
P003_WD01_00018	CDS	1521	matK			maturase K
P003_WD01_00019	CDS	267				hypothetical protein
P003_WD01_00020	CDS	303				hypothetical protein
P003_WD01_00021	tRNA	74				tRNA-Met(cat)
P003_WD01_00022	CDS	471	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P003_WD01_00023	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P003_WD01_00024	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WD01_00025	CDS	279	rps15			ribosomal protein S15
P003_WD01_00026	CDS	219				hypothetical protein
P003_WD01_00027	CDS	249	atpB_1			ATP synthase CF1 beta subunit
P003_WD01_00028	CDS	135				hypothetical protein
P003_WD01_00029	CDS	438				hypothetical protein
P003_WD01_00030	CDS	270				hypothetical protein
P003_WD01_00031	CDS	240	rps3_1			ribosomal protein S3
P003_WD01_00032	CDS	333				hypothetical protein
P003_WD01_00033	CDS	714	rps3_2			ribosomal protein S3
P003_WD01_00034	CDS	219				hypothetical protein
P003_WD01_00035	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WD01_00036	CDS	222	psbH			photosystem II phosphoprotein
P003_WD01_00037	CDS	489	petB			cytochrome b6
P003_WD01_00038	CDS	525	petD			cytochrome b6/f complex subunit IV
P003_WD01_00039	CDS	237				hypothetical protein
P003_WD01_00040	CDS	231	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WD01_00041	tRNA	75				tRNA-Thr(tgt)
P003_WD01_00042	tRNA	74				tRNA-Phe(gaa)
P003_WD01_00043	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WD01_00044	CDS	690	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WD01_00045	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WD01_00046	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WD01_00047	CDS	1497	atpB_2			ATP synthase CF1 beta subunit
P003_WD01_00048	CDS	402	atpE			ATP synthase CF1 epsilon subunit
