locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WD07_00001	CDS	4146	rpoC2			RNA polymerase beta'' subunit
P002_WD07_00002	CDS	834	rps2			ribosomal protein S2
P002_WD07_00003	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WD07_00004	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WD07_00005	CDS	171	atpF_1			ATP synthase CF0 subunit I
P002_WD07_00006	CDS	339				hypothetical protein
P002_WD07_00007	CDS	375	atpF_2			ATP synthase CF0 subunit I
P002_WD07_00008	CDS	1527	atpA			ATP synthase CF1 alpha subunit
P002_WD07_00009	tRNA	72				tRNA-Arg(tct)
P002_WD07_00010	tRNA	74				tRNA-Thr(cgt)
P002_WD07_00011	CDS	1062	psbD			photosystem II protein D2
P002_WD07_00012	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WD07_00013	tRNA	83				tRNA-Ser(tga)
P002_WD07_00014	CDS	210				hypothetical protein
P002_WD07_00015	CDS	189	psbZ			photosystem II protein Z
P002_WD07_00016	tRNA	72				tRNA-Gly(gcc)
P002_WD07_00017	tRNA	74				tRNA-Met(cat)
P002_WD07_00018	CDS	180				hypothetical protein
P002_WD07_00019	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WD07_00020	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WD07_00021	CDS	249	ycf3			hypothetical chloroplast RF34
P002_WD07_00022	tRNA	87				tRNA-Ser(gga)
P002_WD07_00023	CDS	606	rps4			ribosomal protein S4
P002_WD07_00024	tRNA	75				tRNA-Thr(tgt)
P002_WD07_00025	CDS	144				hypothetical protein
P002_WD07_00026	tRNA	74				tRNA-Phe(gaa)
P002_WD07_00027	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WD07_00028	CDS	738	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WD07_00029	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WD07_00030	CDS	207				hypothetical protein
