locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WD02_00001	tRNA	75				tRNA-His(gtg)
P002_WD02_00002	CDS	954	psbA			photosystem II protein D1
P002_WD02_00003	CDS	150				hypothetical protein
P002_WD02_00004	CDS	1518	matK			maturase K
P002_WD02_00005	CDS	138				hypothetical protein
P002_WD02_00006	CDS	195				hypothetical protein
P002_WD02_00007	tRNA	72				tRNA-Gln(ttg)
P002_WD02_00008	CDS	195	psbK			photosystem II protein K
P002_WD02_00009	CDS	117	psbI			Photosystem II reaction center protein I
P002_WD02_00010	tRNA	90				tRNA-Ser(gct)
P002_WD02_00011	tRNA	72				tRNA-Arg(tct)
P002_WD02_00012	CDS	1518	atpA			ATP synthase CF1 alpha subunit
P002_WD02_00013	CDS	489	atpF_1			ATP synthase CF0 subunit I
P002_WD02_00014	CDS	171	atpF_2			ATP synthase CF0 subunit I
P002_WD02_00015	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WD02_00016	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WD02_00017	CDS	711	rps2			ribosomal protein S2
P002_WD02_00018	CDS	4167	rpoC2			RNA polymerase beta'' subunit
P002_WD02_00019	CDS	1620	rpoC1_1			RNA polymerase beta' subunit
P002_WD02_00020	CDS	459	rpoC1_2			RNA polymerase beta' subunit
P002_WD02_00021	CDS	3213	rpoB			RNA polymerase beta subunit
P002_WD02_00022	tRNA	71				tRNA-Cys(gca)
P002_WD02_00023	CDS	90	petN			cytochrome b6/f complex subunit VII
P002_WD02_00024	CDS	183				hypothetical protein
P002_WD02_00025	tRNA	77				tRNA-Asp(gtc)
P002_WD02_00026	tRNA	86				tRNA-Tyr(gta)
P002_WD02_00027	tRNA	75				tRNA-Glu(ttc)
P002_WD02_00028	tRNA	75				tRNA-Thr(ggt)
P002_WD02_00029	CDS	276				hypothetical protein
P002_WD02_00030	CDS	1062	psbD			photosystem II protein D2
P002_WD02_00031	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WD02_00032	tRNA	89				tRNA-Ser(tga)
P002_WD02_00033	CDS	330				hypothetical protein
P002_WD02_00034	tRNA	72				tRNA-Gly(gcc)
P002_WD02_00035	tRNA	74				tRNA-Met(cat)
P002_WD02_00036	CDS	180				hypothetical protein
P002_WD02_00037	CDS	123				hypothetical protein
P002_WD02_00038	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WD02_00039	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WD02_00040	CDS	249	ycf3_1			hypothetical chloroplast RF34
P002_WD02_00041	CDS	261				hypothetical protein
P002_WD02_00042	CDS	135	ycf3_2			hypothetical chloroplast RF34
P002_WD02_00043	tRNA	87				tRNA-Ser(gga)
P002_WD02_00044	CDS	606	rps4			ribosomal protein S4
P002_WD02_00045	tRNA	75				tRNA-Thr(tgt)
P002_WD02_00046	tRNA	74				tRNA-Phe(gaa)
P002_WD02_00047	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WD02_00048	CDS	717	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WD02_00049	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WD02_00050	tRNA	73				tRNA-Met(cat)
P002_WD02_00051	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P002_WD02_00052	CDS	1497	atpB			ATP synthase CF1 beta subunit
P002_WD02_00053	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WD02_00054	CDS	1494	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WD02_00055	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WD02_00056	CDS	693	cemA			envelope membrane protein
P002_WD02_00057	CDS	963	petA			cytochrome f
P002_WD02_00058	CDS	123	psbJ			photosystem II protein J
P002_WD02_00059	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WD02_00060	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WD02_00061	tRNA	74				tRNA-Trp(cca)
P002_WD02_00062	tRNA	76				tRNA-Pro(tgg)
P002_WD02_00063	CDS	135	psaJ			photosystem I subunit IX
P002_WD02_00064	CDS	195				hypothetical protein
P002_WD02_00065	CDS	276	rps18			ribosomal protein S18
P002_WD02_00066	CDS	360	rpl20			ribosomal protein L20
P002_WD02_00067	CDS	225	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WD02_00068	CDS	276	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WD02_00069	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WD02_00070	CDS	222	psbH			photosystem II phosphoprotein
P002_WD02_00071	CDS	513	petB			cytochrome b6
P002_WD02_00072	CDS	180				hypothetical protein
P002_WD02_00073	CDS	540	petD			cytochrome b6/f complex subunit IV
P002_WD02_00074	CDS	1035	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P002_WD02_00075	CDS	417	rps11			ribosomal protein S11
P002_WD02_00076	CDS	249				hypothetical protein
P002_WD02_00077	CDS	405	rps8			ribosomal protein S8
P002_WD02_00078	CDS	369	rpl14			ribosomal protein L14
P002_WD02_00079	CDS	360	rpl16			ribosomal protein L16
P002_WD02_00080	CDS	663	rps3			ribosomal protein S3
P002_WD02_00081	CDS	555	rpl22			ribosomal protein L22
P002_WD02_00082	CDS	279	rps19			ribosomal protein S19
P002_WD02_00083	CDS	3960				hypothetical protein
P002_WD02_00084	CDS	273	rps15			ribosomal protein S15
P002_WD02_00085	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WD02_00086	CDS	567	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P002_WD02_00087	CDS	471	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P002_WD02_00088	CDS	501	ndhI			NADH-plastoquinone oxidoreductase subunit I
P002_WD02_00089	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WD02_00090	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WD02_00091	CDS	246	psaC			photosystem I subunit VII
P002_WD02_00092	CDS	1638	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WD02_00093	CDS	957	ccsA			cytochrome c heme attachment protein
P002_WD02_00094	tRNA	80				tRNA-Leu(tag)
P002_WD02_00095	CDS	2262	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P002_WD02_00096	CDS	465	rpl2_1			ribosomal protein L2
P002_WD02_00097	CDS	411	rpl2_2			ribosomal protein L2
P002_WD02_00098	CDS	282	rpl23			ribosomal protein L23
P002_WD02_00099	tRNA	75				tRNA-Met(cat)
P002_WD02_00100	CDS	6837				hypothetical protein
P002_WD02_00101	tRNA	83				tRNA-Leu(caa)
P002_WD02_00102	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WD02_00103	CDS	912	ndhB_2	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
P002_WD02_00104	CDS	489	rps7			ribosomal protein S7
P002_WD02_00105	CDS	138				hypothetical protein
P002_WD02_00106	CDS	180				hypothetical protein
P002_WD02_00107	tRNA	72				tRNA-Val(gac)
P002_WD02_00108	rRNA	1487				16S ribosomal RNA
P002_WD02_00109	CDS	129				hypothetical protein
P002_WD02_00110	CDS	330				hypothetical protein
P002_WD02_00111	CDS	258				hypothetical protein
P002_WD02_00112	rRNA	3011				23S ribosomal RNA
P002_WD02_00113	CDS	174				hypothetical protein
P002_WD02_00114	tRNA	75				tRNA-Arg(acg)
P002_WD02_00115	tRNA	74				tRNA-Asn(gtt)
P002_WD02_00116	CDS	225				hypothetical protein
P002_WD02_00117	CDS	165				hypothetical protein
