locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WG07_00001	CDS	327	accD_1	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WG07_00002	CDS	513				hypothetical protein
P002_WG07_00003	CDS	336				hypothetical protein
P002_WG07_00004	CDS	177				hypothetical protein
P002_WG07_00005	CDS	675	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WG07_00006	CDS	306	rps14_1			ribosomal protein S14
P002_WG07_00007	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WG07_00008	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WG07_00009	CDS	324	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WG07_00010	CDS	258				hypothetical protein
P002_WG07_00011	CDS	243				hypothetical protein
P002_WG07_00012	CDS	357				hypothetical protein
P002_WG07_00013	CDS	198				hypothetical protein
P002_WG07_00014	CDS	192				hypothetical protein
P002_WG07_00015	CDS	381				hypothetical protein
P002_WG07_00016	CDS	177				hypothetical protein
P002_WG07_00017	CDS	900				hypothetical protein
P002_WG07_00018	CDS	633	clpP_3	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WG07_00019	CDS	558	petD			cytochrome b6/f complex subunit IV
P002_WG07_00020	CDS	174				hypothetical protein
P002_WG07_00021	CDS	573	petB_1			cytochrome b6
P002_WG07_00022	CDS	222	psbH			photosystem II phosphoprotein
P002_WG07_00023	CDS	132	psbN			photosystem II protein N
P002_WG07_00024	CDS	1530	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WG07_00025	rRNA	1520				16S ribosomal RNA
P002_WG07_00026	CDS	240				hypothetical protein
P002_WG07_00027	CDS	114				hypothetical protein
P002_WG07_00028	CDS	222				hypothetical protein
P002_WG07_00029	rRNA	3085				23S ribosomal RNA
P002_WG07_00030	CDS	171				hypothetical protein
P002_WG07_00031	CDS	213				hypothetical protein
P002_WG07_00032	tRNA	75				tRNA-Arg(acg)
P002_WG07_00033	tRNA	74				tRNA-Asn(gtt)
P002_WG07_00034	CDS	792				hypothetical protein
P002_WG07_00035	CDS	186	psbK			photosystem II protein K
P002_WG07_00036	CDS	111	psbI			Photosystem II reaction center protein I
P002_WG07_00037	tRNA	86				tRNA-Ser(gct)
P002_WG07_00038	CDS	354	rpoA_1	2.7.7.6		DNA-directed RNA polymerase subunit alpha
P002_WG07_00039	CDS	99	rps12			ribosomal protein S12
P002_WG07_00040	CDS	156				hypothetical protein
P002_WG07_00041	CDS	207				hypothetical protein
P002_WG07_00042	CDS	429				hypothetical protein
P002_WG07_00043	tRNA	75				tRNA-Thr(tgt)
P002_WG07_00044	CDS	174				hypothetical protein
P002_WG07_00045	tRNA	83				tRNA-Leu(caa)
P002_WG07_00046	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WG07_00047	CDS	876	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WG07_00048	CDS	1560	matK			maturase K
P002_WG07_00049	CDS	756				hypothetical protein
P002_WG07_00050	CDS	1062	psbA			photosystem II protein D1
P002_WG07_00051	CDS	363				hypothetical protein
P002_WG07_00052	CDS	198				hypothetical protein
P002_WG07_00053	CDS	225				hypothetical protein
P002_WG07_00054	CDS	231				hypothetical protein
P002_WG07_00055	CDS	342				hypothetical protein
P002_WG07_00056	tRNA	75				tRNA-His(gtg)
P002_WG07_00057	CDS	474	rpl2_1			ribosomal protein L2
P002_WG07_00058	CDS	96				hypothetical protein
P002_WG07_00059	CDS	396	rpl2_2			ribosomal protein L2
P002_WG07_00060	tRNA	75				tRNA-Met(cat)
P002_WG07_00061	tRNA	76				tRNA-Met(cat)
P002_WG07_00062	tRNA	78				tRNA-Met(cat)
