locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WG06_00001	tRNA	75				tRNA-Arg(acg)
P001_WG06_00002	CDS	168				hypothetical protein
P001_WG06_00003	CDS	150				hypothetical protein
P001_WG06_00004	CDS	159				hypothetical protein
P001_WG06_00005	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P001_WG06_00006	CDS	1479	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P001_WG06_00007	CDS	111	psaI			photosystem I subunit VIII
P001_WG06_00008	CDS	555	ycf4			photosystem I assembly protein Ycf4
P001_WG06_00009	CDS	765	cemA			envelope membrane protein
P001_WG06_00010	CDS	963	petA			cytochrome f
P001_WG06_00011	CDS	123	psbJ			photosystem II protein J
P001_WG06_00012	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P001_WG06_00013	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_WG06_00014	tRNA	74				tRNA-Trp(cca)
P001_WG06_00015	tRNA	76				tRNA-Pro(tgg)
P001_WG06_00016	CDS	306	rps18			ribosomal protein S18
P001_WG06_00017	CDS	300				hypothetical protein
P001_WG06_00018	CDS	393	rpl20			ribosomal protein L20
P001_WG06_00019	CDS	165				hypothetical protein
P001_WG06_00020	CDS	222	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P001_WG06_00021	CDS	282	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WG06_00022	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WG06_00023	CDS	222	psbH			photosystem II phosphoprotein
P001_WG06_00024	CDS	489	petB_1			cytochrome b6
P001_WG06_00025	CDS	114				hypothetical protein
P001_WG06_00026	CDS	534	petD			cytochrome b6/f complex subunit IV
P001_WG06_00027	CDS	1038	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P001_WG06_00028	CDS	417	rps11			ribosomal protein S11
P001_WG06_00029	CDS	258	infA			translational initiation factor 1
P001_WG06_00030	CDS	264	rps8			ribosomal protein S8
P001_WG06_00031	CDS	369	rpl14			ribosomal protein L14
P001_WG06_00032	CDS	357	rpl16			ribosomal protein L16
P001_WG06_00033	CDS	654	rps3			ribosomal protein S3
P001_WG06_00034	CDS	375	rpl22			ribosomal protein L22
P001_WG06_00035	CDS	279	rps19			ribosomal protein S19
P001_WG06_00036	CDS	282	rpoB_1			RNA polymerase beta subunit
P001_WG06_00037	CDS	462	rpoB_2			RNA polymerase beta subunit
P001_WG06_00038	CDS	321	atpB_1			ATP synthase CF1 beta subunit
P001_WG06_00039	CDS	972	atpB_2			ATP synthase CF1 beta subunit
P001_WG06_00040	CDS	423	atpE			ATP synthase CF1 epsilon subunit
P001_WG06_00041	tRNA	73				tRNA-Met(cat)
P001_WG06_00042	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P001_WG06_00043	CDS	753	ndhK			NADH-plastoquinone oxidoreductase subunit K
P001_WG06_00044	CDS	342	rpoC1_1			RNA polymerase beta' subunit
P001_WG06_00045	CDS	315	rpoC1_2			RNA polymerase beta' subunit
P001_WG06_00046	CDS	117	rpoC1_3	2.7.7.6		DNA-directed RNA polymerase subunit gamma
P001_WG06_00047	CDS	2241	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P001_WG06_00048	CDS	177				hypothetical protein
P001_WG06_00049	tRNA	80				tRNA-Leu(tag)
P001_WG06_00050	CDS	972	ccsA			cytochrome c heme attachment protein
