locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WD10_00001	CDS	216				hypothetical protein
P003_WD10_00002	CDS	246				hypothetical protein
P003_WD10_00003	tRNA	74				tRNA-Asn(gtt)
P003_WD10_00004	tRNA	74				tRNA-Arg(acg)
P003_WD10_00005	rRNA	3015				23S ribosomal RNA
P003_WD10_00006	CDS	186				hypothetical protein
P003_WD10_00007	CDS	219				hypothetical protein
P003_WD10_00008	CDS	255				hypothetical protein
P003_WD10_00009	rRNA	1487				16S ribosomal RNA
P003_WD10_00010	tRNA	72				tRNA-Val(gac)
P003_WD10_00011	CDS	252				hypothetical protein
P003_WD10_00012	CDS	327	rpsL		COG0048	30S ribosomal protein S12
P003_WD10_00013	CDS	468	rps7			ribosomal protein S7
P003_WD10_00014	CDS	912	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
P003_WD10_00015	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P003_WD10_00016	CDS	120				hypothetical protein
P003_WD10_00017	CDS	177				hypothetical protein
P003_WD10_00018	tRNA	83				tRNA-Leu(caa)
P003_WD10_00019	CDS	6498				hypothetical protein
P003_WD10_00020	CDS	192				hypothetical protein
P003_WD10_00021	tRNA	75				tRNA-Met(cat)
P003_WD10_00022	CDS	825	rpl2			ribosomal protein L2
P003_WD10_00023	rRNA	949				23S ribosomal RNA (partial)
P003_WD10_00024	rRNA	1373				23S ribosomal RNA (partial)
P003_WD10_00025	CDS	96				hypothetical protein
P003_WD10_00026	CDS	2232	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P003_WD10_00027	CDS	246				hypothetical protein
P003_WD10_00028	tRNA	80				tRNA-Leu(tag)
P003_WD10_00029	CDS	975	ccsA			cytochrome c heme attachment protein
P003_WD10_00030	CDS	1527	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WD10_00031	CDS	318	psaC	1.97.1.12		Photosystem I iron-sulfur center
P003_WD10_00032	CDS	360	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WD10_00033	CDS	576	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P003_WD10_00034	CDS	507	ndhI			NADH-plastoquinone oxidoreductase subunit I
P003_WD10_00035	CDS	483	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P003_WD10_00036	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P003_WD10_00037	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WD10_00038	CDS	273	rps15			ribosomal protein S15
P003_WD10_00039	CDS	3564				hypothetical protein
P003_WD10_00040	CDS	192				hypothetical protein
P003_WD10_00041	rRNA	2870				23S ribosomal RNA
P003_WD10_00042	CDS	114				hypothetical protein
P003_WD10_00043	rRNA	1014				16S ribosomal RNA (partial)
P003_WD10_00044	CDS	456	rpl22			ribosomal protein L22
P003_WD10_00045	CDS	657	rps3			ribosomal protein S3
P003_WD10_00046	CDS	258	rpl16			ribosomal protein L16
P003_WD10_00047	CDS	366	rpl14			ribosomal protein L14
P003_WD10_00048	CDS	405	rps8			ribosomal protein S8
P003_WD10_00049	CDS	417	rps11			ribosomal protein S11
P003_WD10_00050	CDS	1116	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P003_WD10_00051	CDS	507	petD			cytochrome b6/f complex subunit IV
P003_WD10_00052	CDS	714	petB			cytochrome b6
P003_WD10_00053	CDS	222	psbH			photosystem II phosphoprotein
P003_WD10_00054	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WD10_00055	CDS	288				hypothetical protein
P003_WD10_00056	CDS	342	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WD10_00057	CDS	222	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WD10_00058	CDS	363	rpl20			ribosomal protein L20
P003_WD10_00059	CDS	318	rps18			ribosomal protein S18
P003_WD10_00060	CDS	216				hypothetical protein
P003_WD10_00061	tRNA	76				tRNA-Pro(tgg)
P003_WD10_00062	tRNA	74				tRNA-Trp(cca)
P003_WD10_00063	CDS	360	psbE			Cytochrome b559 subunit alpha
P003_WD10_00064	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P003_WD10_00065	CDS	141				hypothetical protein
P003_WD10_00066	CDS	963	petA			cytochrome f
P003_WD10_00067	CDS	699	cemA			envelope membrane protein
P003_WD10_00068	CDS	555	ycf4			photosystem I assembly protein Ycf4
P003_WD10_00069	CDS	111	psaI			photosystem I subunit VIII
P003_WD10_00070	CDS	1467	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P003_WD10_00071	CDS	165				hypothetical protein
P003_WD10_00072	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WD10_00073	CDS	1488	atpB			ATP synthase CF1 beta subunit
P003_WD10_00074	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P003_WD10_00075	tRNA	73				tRNA-Met(cat)
P003_WD10_00076	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WD10_00077	CDS	768	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WD10_00078	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WD10_00079	tRNA	74				tRNA-Phe(gaa)
P003_WD10_00080	tRNA	75				tRNA-Thr(tgt)
P003_WD10_00081	CDS	222				hypothetical protein
P003_WD10_00082	CDS	606	rps4			ribosomal protein S4
P003_WD10_00083	tRNA	87				tRNA-Ser(gga)
P003_WD10_00084	CDS	381	ycf3			hypothetical chloroplast RF34
P003_WD10_00085	CDS	2301	psaA			photosystem I P700 apoprotein A1
P003_WD10_00086	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WD10_00087	CDS	258	rps14			ribosomal protein S14
P003_WD10_00088	tRNA	74				tRNA-Met(cat)
P003_WD10_00089	tRNA	72				tRNA-Gly(gcc)
P003_WD10_00090	CDS	195				hypothetical protein
P003_WD10_00091	tRNA	93				tRNA-Ser(tga)
P003_WD10_00092	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P003_WD10_00093	CDS	1062	psbD			photosystem II protein D2
P003_WD10_00094	tRNA	74				tRNA-Thr(ggt)
P003_WD10_00095	tRNA	75				tRNA-Glu(ttc)
P003_WD10_00096	tRNA	86				tRNA-Tyr(gta)
