locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_A01_00001	CDS	150	ndhH_1			NADH-plastoquinone oxidoreductase subunit 7
P001_A01_00002	CDS	2220	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P001_A01_00003	CDS	162				hypothetical protein
P001_A01_00004	CDS	180	rpl32			ribosomal protein L32
P001_A01_00005	tRNA	80				tRNA-Leu(tag)
P001_A01_00006	CDS	930	ccsA			cytochrome c heme attachment protein
P001_A01_00007	CDS	1503	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P001_A01_00008	CDS	246	psaC			photosystem I subunit VII
P001_A01_00009	CDS	303	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P001_A01_00010	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P001_A01_00011	CDS	534	ndhI			NADH-plastoquinone oxidoreductase subunit I
P001_A01_00012	CDS	447	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P001_A01_00013	CDS	564	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P001_A01_00014	CDS	1119	ndhH_2			NADH-plastoquinone oxidoreductase subunit 7
P001_A01_00015	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_A01_00016	CDS	141				hypothetical protein
P001_A01_00017	tRNA	74				tRNA-Trp(cca)
P001_A01_00018	tRNA	76				tRNA-Pro(tgg)
P001_A01_00019	CDS	159	psaJ			photosystem I subunit IX
P001_A01_00020	CDS	276				hypothetical protein
P001_A01_00021	CDS	522				hypothetical protein
P001_A01_00022	CDS	360	rpl20			ribosomal protein L20
P001_A01_00023	CDS	150				hypothetical protein
P001_A01_00024	CDS	651	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P001_A01_00025	CDS	213				hypothetical protein
P001_A01_00026	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_A01_00027	CDS	117	psbT			photosystem II protein T
P001_A01_00028	CDS	351	psbH			Photosystem II reaction center protein H
P001_A01_00029	CDS	159				hypothetical protein
P001_A01_00030	CDS	699	petB			cytochrome b6
P001_A01_00031	CDS	141				hypothetical protein
P001_A01_00032	CDS	525	petD			cytochrome b6/f complex subunit IV
P001_A01_00033	CDS	1026	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P001_A01_00034	CDS	432	rps11			ribosomal protein S11
P001_A01_00035	CDS	342	infA			Translation initiation factor IF-1
P001_A01_00036	CDS	411	rps8			ribosomal protein S8
P001_A01_00037	CDS	372	rpl14			ribosomal protein L14
P001_A01_00038	CDS	363	rpl16			ribosomal protein L16
P001_A01_00039	CDS	162				hypothetical protein
P001_A01_00040	CDS	720	rps3			ribosomal protein S3
P001_A01_00041	CDS	444				hypothetical protein
P001_A01_00042	CDS	90				hypothetical protein
P001_A01_00043	CDS	1905	psaB			photosystem I P700 apoprotein A2
P001_A01_00044	CDS	312	rps14			ribosomal protein S14
P001_A01_00045	tRNA	72				tRNA-Arg(tct)
P001_A01_00046	CDS	1599	atpA			ATP synthase CF1 alpha subunit
P001_A01_00047	CDS	372	atpF_1			ATP synthase CF0 subunit I
P001_A01_00048	CDS	189				hypothetical protein
P001_A01_00049	CDS	222				hypothetical protein
P001_A01_00050	CDS	222	atpF_2			ATP synthase subunit b
P001_A01_00051	CDS	246	atpH			ATP synthase CF0 subunit III
P001_A01_00052	CDS	168				hypothetical protein
P001_A01_00053	CDS	861	atpI			ATP synthase CF0 subunit IV
P001_A01_00054	CDS	711	rps2			ribosomal protein S2
P001_A01_00055	CDS	4401	rpoC2	2.7.7.6		DNA-directed RNA polymerase subunit beta'
P001_A01_00056	CDS	2031	rpoC1			RNA polymerase beta' subunit
P001_A01_00057	CDS	3207	rpoB			RNA polymerase beta subunit
P001_A01_00058	tRNA	71				tRNA-Cys(gca)
P001_A01_00059	CDS	243				hypothetical protein
P001_A01_00060	CDS	105	psbM			photosystem II protein M
P001_A01_00061	CDS	156				hypothetical protein
P001_A01_00062	CDS	186				hypothetical protein
P001_A01_00063	tRNA	74				tRNA-Asp(gtc)
P001_A01_00064	tRNA	86				tRNA-Tyr(gta)
P001_A01_00065	tRNA	75				tRNA-Glu(ttc)
P001_A01_00066	tRNA	74				tRNA-Thr(ggt)
P001_A01_00067	CDS	150				hypothetical protein
P001_A01_00068	CDS	258				hypothetical protein
P001_A01_00069	CDS	345				hypothetical protein
P001_A01_00070	tRNA	76				tRNA-Met(cat)
P001_A01_00071	tRNA	72				tRNA-Gly(gcc)
P001_A01_00072	CDS	168				hypothetical protein
P001_A01_00073	CDS	213	psbZ			photosystem II protein Z
P001_A01_00074	tRNA	88				tRNA-Ser(tga)
P001_A01_00075	CDS	1422	psbC			photosystem II CP43 chlorophyll apoprotein
P001_A01_00076	CDS	1062	psbD			photosystem II protein D2
P001_A01_00077	CDS	285				hypothetical protein
P001_A01_00078	tRNA	89				tRNA-Ser(gct)
P001_A01_00079	CDS	357	psbK			Photosystem II reaction center protein K
P001_A01_00080	tRNA	72				tRNA-Gln(ttg)
P001_A01_00081	CDS	240				hypothetical protein
P001_A01_00082	CDS	255				hypothetical protein
P001_A01_00083	CDS	189				hypothetical protein
P001_A01_00084	CDS	1536	matK			maturase K
P001_A01_00085	CDS	1062	psbA			photosystem II protein D1
P001_A01_00086	CDS	90				hypothetical protein
P001_A01_00087	rRNA	1480				23S ribosomal RNA (partial)
P001_A01_00088	CDS	216	rps19			ribosomal protein S19
P001_A01_00089	tRNA	75				tRNA-His(gtg)
P001_A01_00090	CDS	498	rpl2_1			ribosomal protein L2
P001_A01_00091	CDS	339	rpl2_2			ribosomal protein L2
P001_A01_00092	CDS	282	rpl23			ribosomal protein L23
P001_A01_00093	CDS	132				hypothetical protein
P001_A01_00094	tRNA	75				tRNA-Met(cat)
P001_A01_00095	CDS	849				hypothetical protein
P001_A01_00096	CDS	387				hypothetical protein
P001_A01_00097	CDS	300				hypothetical protein
P001_A01_00098	CDS	156				hypothetical protein
P001_A01_00099	tRNA	83				tRNA-Leu(caa)
P001_A01_00100	CDS	615	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P001_A01_00101	CDS	120				hypothetical protein
P001_A01_00102	CDS	849	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P001_A01_00103	CDS	471	rps7			ribosomal protein S7
P001_A01_00104	CDS	147				hypothetical protein
P001_A01_00105	CDS	213				hypothetical protein
P001_A01_00106	CDS	537				hypothetical protein
P001_A01_00107	tRNA	72				tRNA-Val(gac)
P001_A01_00108	rRNA	1487				16S ribosomal RNA
P001_A01_00109	CDS	225				hypothetical protein
P001_A01_00110	CDS	279				hypothetical protein
P001_A01_00111	CDS	234				hypothetical protein
P001_A01_00112	rRNA	3076				23S ribosomal RNA
P001_A01_00113	tRNA	75				tRNA-Arg(acg)
P001_A01_00114	tRNA	74				tRNA-Asn(gtt)
P001_A01_00115	CDS	168				hypothetical protein
P001_A01_00116	CDS	273	rps15			ribosomal protein S15
P001_A01_00117	rRNA	444				16S ribosomal RNA (partial)
P001_A01_00118	rRNA	1188				16S ribosomal RNA (partial)
P001_A01_00119	CDS	153	psbF			Cytochrome b559 subunit beta
P001_A01_00120	CDS	144	psbJ			photosystem II protein J
P001_A01_00121	CDS	129				hypothetical protein
P001_A01_00122	CDS	963	petA			cytochrome f
P001_A01_00123	CDS	693	cemA			envelope membrane protein
P001_A01_00124	CDS	558	ycf4			photosystem I assembly protein Ycf4
P001_A01_00125	CDS	111	psaI			photosystem I subunit VIII
P001_A01_00126	CDS	1434	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P001_A01_00127	CDS	147				hypothetical protein
P001_A01_00128	CDS	1497	atpB			ATP synthase CF1 beta subunit
P001_A01_00129	CDS	414	atpE			ATP synthase CF1 epsilon subunit
P001_A01_00130	tRNA	75				tRNA-Met(cat)
P001_A01_00131	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P001_A01_00132	CDS	762	ndhK			NADH-plastoquinone oxidoreductase subunit K
P001_A01_00133	CDS	555	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P001_A01_00134	tRNA	73				tRNA-Phe(gaa)
P001_A01_00135	tRNA	75				tRNA-Thr(tgt)
P001_A01_00136	CDS	606	rps4			ribosomal protein S4
P001_A01_00137	tRNA	87				tRNA-Ser(gga)
P001_A01_00138	CDS	111				hypothetical protein
P001_A01_00139	CDS	249	ycf3			hypothetical chloroplast RF34
P001_A01_00140	CDS	2253	psaA			photosystem I P700 apoprotein A1
