locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WD10_00001	CDS	315	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WD10_00002	CDS	282	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WD10_00003	CDS	2274	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P002_WD10_00004	tRNA	80				tRNA-Leu(tag)
P002_WD10_00005	CDS	963	ccsA			cytochrome c heme attachment protein
P002_WD10_00006	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WD10_00007	CDS	246	psaC			photosystem I subunit VII
P002_WD10_00008	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WD10_00009	CDS	576	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WD10_00010	CDS	531	ndhI			NADH-plastoquinone oxidoreductase subunit I
P002_WD10_00011	CDS	492	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P002_WD10_00012	CDS	3753				hypothetical protein
P002_WD10_00013	CDS	273	rps15			ribosomal protein S15
P002_WD10_00014	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WD10_00015	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P002_WD10_00016	tRNA	88				tRNA-Ser(gct)
P002_WD10_00017	CDS	111	psbI			Photosystem II reaction center protein I
P002_WD10_00018	CDS	195	psbK			photosystem II protein K
P002_WD10_00019	tRNA	72				tRNA-Gln(ttg)
P002_WD10_00020	CDS	1533	matK			maturase K
P002_WD10_00021	tRNA	73				tRNA-Met(cat)
P002_WD10_00022	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P002_WD10_00023	CDS	1497	atpB			ATP synthase CF1 beta subunit
P002_WD10_00024	CDS	1437	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WD10_00025	CDS	240				hypothetical protein
P002_WD10_00026	CDS	1497	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WD10_00027	CDS	183				hypothetical protein
P002_WD10_00028	CDS	147				hypothetical protein
P002_WD10_00029	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WD10_00030	CDS	687	cemA			envelope membrane protein
P002_WD10_00031	CDS	963	petA			cytochrome f
P002_WD10_00032	CDS	123	psbJ			photosystem II protein J
P002_WD10_00033	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WD10_00034	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WD10_00035	tRNA	74				tRNA-Trp(cca)
P002_WD10_00036	tRNA	75				tRNA-Pro(tgg)
P002_WD10_00037	CDS	231	psaJ			Photosystem I reaction center subunit IX
P002_WD10_00038	CDS	177				hypothetical protein
P002_WD10_00039	CDS	306	rps18			ribosomal protein S18
P002_WD10_00040	CDS	354	rpl20			ribosomal protein L20
P002_WD10_00041	CDS	246				hypothetical protein
P002_WD10_00042	CDS	279	rps19			ribosomal protein S19
P002_WD10_00043	CDS	498	rpl2_1			ribosomal protein L2
P002_WD10_00044	CDS	162				hypothetical protein
P002_WD10_00045	CDS	408	rpl2_2			ribosomal protein L2
P002_WD10_00046	CDS	282	rpl23			ribosomal protein L23
P002_WD10_00047	tRNA	75				tRNA-Met(cat)
P002_WD10_00048	CDS	6858				hypothetical protein
P002_WD10_00049	tRNA	83				tRNA-Leu(caa)
P002_WD10_00050	CDS	186				hypothetical protein
P002_WD10_00051	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WD10_00052	CDS	858	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WD10_00053	CDS	240	rps7			ribosomal protein S7
P002_WD10_00054	CDS	126				hypothetical protein
P002_WD10_00055	CDS	138				hypothetical protein
P002_WD10_00056	CDS	285				hypothetical protein
P002_WD10_00057	CDS	201				hypothetical protein
P002_WD10_00058	tRNA	72				tRNA-Val(gac)
P002_WD10_00059	rRNA	1487				16S ribosomal RNA
P002_WD10_00060	CDS	216				hypothetical protein
P002_WD10_00061	CDS	105				hypothetical protein
P002_WD10_00062	rRNA	3010				23S ribosomal RNA
P002_WD10_00063	tRNA	75				tRNA-Arg(acg)
P002_WD10_00064	CDS	147				hypothetical protein
P002_WD10_00065	tRNA	74				tRNA-Asn(gtt)
P002_WD10_00066	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WD10_00067	CDS	678	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WD10_00068	CDS	480	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WD10_00069	tRNA	74				tRNA-Phe(gaa)
P002_WD10_00070	tRNA	75				tRNA-Thr(tgt)
P002_WD10_00071	CDS	606	rps4			ribosomal protein S4
P002_WD10_00072	tRNA	88				tRNA-Ser(gga)
P002_WD10_00073	CDS	183				hypothetical protein
P002_WD10_00074	CDS	249	ycf3			hypothetical chloroplast RF34
P002_WD10_00075	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WD10_00076	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WD10_00077	CDS	303	rps14			ribosomal protein S14
P002_WD10_00078	tRNA	75				tRNA-Met(cat)
P002_WD10_00079	tRNA	72				tRNA-Gly(gcc)
P002_WD10_00080	CDS	189	psbZ			photosystem II protein Z
P002_WD10_00081	tRNA	90				tRNA-Ser(tga)
P002_WD10_00082	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WD10_00083	CDS	1062	psbD			photosystem II protein D2
P002_WD10_00084	tRNA	74				tRNA-Thr(ggt)
P002_WD10_00085	tRNA	75				tRNA-Glu(ttc)
P002_WD10_00086	tRNA	86				tRNA-Tyr(gta)
P002_WD10_00087	tRNA	77				tRNA-Asp(gtc)
P002_WD10_00088	CDS	105	psbM			photosystem II protein M
P002_WD10_00089	tRNA	71				tRNA-Cys(gca)
P002_WD10_00090	CDS	3345	rpoB			RNA polymerase beta subunit
P002_WD10_00091	CDS	459	rpoC1_1			RNA polymerase beta' subunit
P002_WD10_00092	CDS	1308	rpoC1_2			RNA polymerase beta' subunit
P002_WD10_00093	CDS	2211	rpoC2_1			RNA polymerase beta'' subunit
P002_WD10_00094	CDS	1926	rpoC2_2			RNA polymerase beta'' subunit
P002_WD10_00095	CDS	711	rps2			ribosomal protein S2
P002_WD10_00096	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WD10_00097	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WD10_00098	CDS	171	atpF_1			ATP synthase CF0 subunit I
P002_WD10_00099	CDS	273				hypothetical protein
P002_WD10_00100	CDS	477	atpF_2			ATP synthase CF0 subunit I
P002_WD10_00101	CDS	1524	atpA_1			ATP synthase CF1 alpha subunit
P002_WD10_00102	tRNA	72				tRNA-Arg(tct)
P002_WD10_00103	rRNA	1299				23S ribosomal RNA (partial)
P002_WD10_00104	CDS	606				hypothetical protein
P002_WD10_00105	CDS	1668	atpA_2			ATP synthase CF1 alpha subunit
P002_WD10_00106	CDS	399	rpl22			ribosomal protein L22
P002_WD10_00107	CDS	657	rps3			ribosomal protein S3
P002_WD10_00108	CDS	360	rpl16			ribosomal protein L16
P002_WD10_00109	CDS	369	rpl14			ribosomal protein L14
P002_WD10_00110	CDS	405	rps8			ribosomal protein S8
P002_WD10_00111	CDS	417	rps11			ribosomal protein S11
P002_WD10_00112	CDS	1020	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P002_WD10_00113	CDS	540	petD			cytochrome b6/f complex subunit IV
P002_WD10_00114	CDS	489	petB			cytochrome b6
P002_WD10_00115	CDS	222	psbH			photosystem II phosphoprotein
P002_WD10_00116	CDS	1203	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WD10_00117	CDS	792	psbA			photosystem II protein D1
P002_WD10_00118	tRNA	75				tRNA-His(gtg)
