locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WD05_00001	CDS	624				hypothetical protein
P003_WD05_00002	CDS	3813				hypothetical protein
P003_WD05_00003	CDS	1236	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WD05_00004	CDS	597	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P003_WD05_00005	CDS	219				hypothetical protein
P003_WD05_00006	CDS	186	ndhA_2	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
P003_WD05_00007	CDS	543	ndhI			NADH-plastoquinone oxidoreductase subunit I
P003_WD05_00008	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P003_WD05_00009	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WD05_00010	CDS	273	psaC			photosystem I subunit VII
P003_WD05_00011	CDS	1467	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WD05_00012	CDS	969	ccsA			cytochrome c heme attachment protein
P003_WD05_00013	tRNA	80				tRNA-Leu(tag)
P003_WD05_00014	CDS	144				hypothetical protein
P003_WD05_00015	CDS	189				hypothetical protein
P003_WD05_00016	CDS	2220	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P003_WD05_00017	CDS	342				hypothetical protein
P003_WD05_00018	CDS	372				hypothetical protein
P003_WD05_00019	CDS	279	rps19			ribosomal protein S19
P003_WD05_00020	CDS	540	rpl22			ribosomal protein L22
P003_WD05_00021	CDS	657	rps3			ribosomal protein S3
P003_WD05_00022	CDS	195				hypothetical protein
P003_WD05_00023	CDS	249	rpl16			ribosomal protein L16
P003_WD05_00024	CDS	369	rpl14			ribosomal protein L14
P003_WD05_00025	CDS	399	rps8			ribosomal protein S8
P003_WD05_00026	CDS	288	infA			Translation initiation factor IF-1
P003_WD05_00027	CDS	417	rps11			ribosomal protein S11
P003_WD05_00028	CDS	1035	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P003_WD05_00029	CDS	525	petD			cytochrome b6/f complex subunit IV
P003_WD05_00030	CDS	489	petB			cytochrome b6
P003_WD05_00031	CDS	222	psbH			photosystem II phosphoprotein
P003_WD05_00032	CDS	129				hypothetical protein
P003_WD05_00033	CDS	1521	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WD05_00034	CDS	165				hypothetical protein
P003_WD05_00035	CDS	297				hypothetical protein
P003_WD05_00036	CDS	378	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WD05_00037	CDS	240	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WD05_00038	CDS	246				hypothetical protein
P003_WD05_00039	CDS	354	rpl20			ribosomal protein L20
P003_WD05_00040	CDS	288				hypothetical protein
P003_WD05_00041	CDS	135	psaJ			photosystem I subunit IX
P003_WD05_00042	tRNA	76				tRNA-Pro(tgg)
P003_WD05_00043	tRNA	74				tRNA-Trp(cca)
P003_WD05_00044	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P003_WD05_00045	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P003_WD05_00046	CDS	963	petA			cytochrome f
P003_WD05_00047	CDS	720	cemA			envelope membrane protein
P003_WD05_00048	CDS	270				hypothetical protein
P003_WD05_00049	CDS	555	ycf4			photosystem I assembly protein Ycf4
