locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WG04_00001	rRNA	2147				23S ribosomal RNA (partial)
P003_WG04_00002	tRNA	75				tRNA-Arg(acg)
P003_WG04_00003	CDS	252				hypothetical protein
P003_WG04_00004	tRNA	74				tRNA-Asn(gtt)
P003_WG04_00005	tRNA	74				tRNA-His(gtg)
P003_WG04_00006	CDS	1062	psbA			photosystem II protein D1
P003_WG04_00007	CDS	153				hypothetical protein
P003_WG04_00008	CDS	246	matK_1			maturase K
P003_WG04_00009	CDS	1377	matK_2			maturase K
P003_WG04_00010	CDS	306				hypothetical protein
P003_WG04_00011	tRNA	72				tRNA-Gln(ttg)
P003_WG04_00012	CDS	186	psbK			photosystem II protein K
P003_WG04_00013	CDS	111	psbI			Photosystem II reaction center protein I
P003_WG04_00014	tRNA	88				tRNA-Ser(gct)
P003_WG04_00015	tRNA	72				tRNA-Arg(tct)
P003_WG04_00016	CDS	1515	atpA			ATP synthase CF1 alpha subunit
P003_WG04_00017	CDS	303	atpF_1			ATP synthase CF0 subunit I
P003_WG04_00018	CDS	171	atpF_2			ATP synthase CF0 subunit I
P003_WG04_00019	CDS	342	atpH			ATP synthase subunit c
P003_WG04_00020	CDS	795	atpI			ATP synthase CF0 subunit IV
P003_WG04_00021	CDS	711	rps2			ribosomal protein S2
P003_WG04_00022	CDS	4140	rpoC2			RNA polymerase beta'' subunit
P003_WG04_00023	CDS	1422	rpoC1_1			RNA polymerase beta' subunit
P003_WG04_00024	CDS	459	rpoC1_2			RNA polymerase beta' subunit
P003_WG04_00025	CDS	3237	rpoB			RNA polymerase beta subunit
P003_WG04_00026	CDS	174				hypothetical protein
P003_WG04_00027	tRNA	72				tRNA-Cys(gca)
P003_WG04_00028	CDS	147				hypothetical protein
P003_WG04_00029	tRNA	77				tRNA-Asp(gtc)
P003_WG04_00030	tRNA	86				tRNA-Tyr(gta)
P003_WG04_00031	tRNA	75				tRNA-Glu(ttc)
P003_WG04_00032	tRNA	74				tRNA-Thr(ggt)
P003_WG04_00033	CDS	321				hypothetical protein
P003_WG04_00034	CDS	1062	psbD			photosystem II protein D2
P003_WG04_00035	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P003_WG04_00036	tRNA	93				tRNA-Ser(tga)
P003_WG04_00037	CDS	189	psbZ			photosystem II protein Z
P003_WG04_00038	tRNA	72				tRNA-Gly(gcc)
P003_WG04_00039	tRNA	75				tRNA-Met(cat)
P003_WG04_00040	CDS	192				hypothetical protein
P003_WG04_00041	CDS	159				hypothetical protein
P003_WG04_00042	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WG04_00043	CDS	2253	psaA			photosystem I P700 apoprotein A1
P003_WG04_00044	CDS	249	ycf3_1			hypothetical chloroplast RF34
P003_WG04_00045	CDS	135	ycf3_2			hypothetical chloroplast RF34
P003_WG04_00046	tRNA	89				tRNA-Ser(gga)
P003_WG04_00047	CDS	606	rps4			ribosomal protein S4
P003_WG04_00048	tRNA	75				tRNA-Thr(tgt)
P003_WG04_00049	tRNA	73				tRNA-Phe(gaa)
P003_WG04_00050	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WG04_00051	CDS	144				hypothetical protein
P003_WG04_00052	CDS	678	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WG04_00053	CDS	453	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
P003_WG04_00054	tRNA	73				tRNA-Met(cat)
P003_WG04_00055	CDS	399	atpE			ATP synthase CF1 epsilon subunit
P003_WG04_00056	CDS	1497	atpB			ATP synthase CF1 beta subunit
P003_WG04_00057	CDS	1482	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WG04_00058	CDS	1464	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P003_WG04_00059	CDS	555	ycf4			photosystem I assembly protein Ycf4
P003_WG04_00060	CDS	690	cemA			envelope membrane protein
P003_WG04_00061	CDS	1035	petA			cytochrome f
P003_WG04_00062	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P003_WG04_00063	tRNA	74				tRNA-Trp(cca)
P003_WG04_00064	tRNA	76				tRNA-Pro(tgg)
P003_WG04_00065	CDS	135	psaJ			photosystem I subunit IX
P003_WG04_00066	CDS	306	rps18			ribosomal protein S18
P003_WG04_00067	CDS	354	rpl20			ribosomal protein L20
P003_WG04_00068	CDS	222	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WG04_00069	CDS	225	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WG04_00070	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WG04_00071	CDS	222	psbH			photosystem II phosphoprotein
P003_WG04_00072	CDS	231				hypothetical protein
P003_WG04_00073	CDS	180				hypothetical protein
P003_WG04_00074	CDS	489	petB			cytochrome b6
P003_WG04_00075	CDS	525	petD			cytochrome b6/f complex subunit IV
P003_WG04_00076	CDS	984	rpoA			RNA polymerase alpha subunit
P003_WG04_00077	CDS	417	rps11			ribosomal protein S11
P003_WG04_00078	CDS	405	rps8			ribosomal protein S8
P003_WG04_00079	CDS	369	rpl14			ribosomal protein L14
P003_WG04_00080	CDS	249	rpl16			ribosomal protein L16
P003_WG04_00081	CDS	657	rps3			ribosomal protein S3
P003_WG04_00082	CDS	483	rpl22			ribosomal protein L22
P003_WG04_00083	CDS	279	rps19			ribosomal protein S19
P003_WG04_00084	CDS	498	rpl2_1			ribosomal protein L2
P003_WG04_00085	CDS	402	rpl2_2			ribosomal protein L2
P003_WG04_00086	CDS	282	rpl23			ribosomal protein L23
P003_WG04_00087	tRNA	75				tRNA-Met(cat)
P003_WG04_00088	CDS	6873				hypothetical protein
P003_WG04_00089	tRNA	83				tRNA-Leu(caa)
P003_WG04_00090	CDS	789	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P003_WG04_00091	CDS	792	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P003_WG04_00092	CDS	468	rps7			ribosomal protein S7
P003_WG04_00093	CDS	192				hypothetical protein
P003_WG04_00094	tRNA	72				tRNA-Val(gac)
P003_WG04_00095	rRNA	1487				16S ribosomal RNA
P003_WG04_00096	CDS	267				hypothetical protein
P003_WG04_00097	CDS	255				hypothetical protein
P003_WG04_00098	CDS	189				hypothetical protein
P003_WG04_00099	CDS	93				hypothetical protein
P003_WG04_00100	CDS	231				hypothetical protein
P003_WG04_00101	rRNA	1004				23S ribosomal RNA (partial)
P003_WG04_00102	CDS	2241	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P003_WG04_00103	tRNA	82				tRNA-Leu(tag)
P003_WG04_00104	CDS	987	ccsA			cytochrome c heme attachment protein
P003_WG04_00105	CDS	1530	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WG04_00106	CDS	246	psaC			photosystem I subunit VII
P003_WG04_00107	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WG04_00108	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P003_WG04_00109	CDS	504	ndhI			NADH-plastoquinone oxidoreductase subunit I
P003_WG04_00110	CDS	462	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P003_WG04_00111	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P003_WG04_00112	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WG04_00113	CDS	267	rps15			ribosomal protein S15
