locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WD06_00001	rRNA	1557				23S ribosomal RNA (partial)
P002_WD06_00002	rRNA	1286				23S ribosomal RNA (partial)
P002_WD06_00003	rRNA	445				16S ribosomal RNA (partial)
P002_WD06_00004	rRNA	1188				16S ribosomal RNA (partial)
P002_WD06_00005	tRNA	75				tRNA-Leu(cag)
P002_WD06_00006	CDS	1062	psbA			photosystem II protein D1
P002_WD06_00007	CDS	1536	matK			maturase K
P002_WD06_00008	CDS	240				hypothetical protein
P002_WD06_00009	tRNA	72				tRNA-Gln(ttg)
P002_WD06_00010	CDS	198	psbK			photosystem II protein K
P002_WD06_00011	CDS	210				hypothetical protein
P002_WD06_00012	CDS	111	psbI			Photosystem II reaction center protein I
P002_WD06_00013	tRNA	89				tRNA-Ser(gct)
P002_WD06_00014	CDS	174				hypothetical protein
P002_WD06_00015	CDS	1062	psbD			photosystem II protein D2
P002_WD06_00016	CDS	1422	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WD06_00017	tRNA	88				tRNA-Ser(tga)
P002_WD06_00018	CDS	189	psbZ			photosystem II protein Z
P002_WD06_00019	tRNA	73				tRNA-Gly(gcc)
P002_WD06_00020	tRNA	76				tRNA-Met(cat)
P002_WD06_00021	tRNA	74				tRNA-Thr(ggt)
P002_WD06_00022	tRNA	75				tRNA-Glu(ttc)
P002_WD06_00023	tRNA	86				tRNA-Tyr(gta)
P002_WD06_00024	tRNA	74				tRNA-Asp(gtc)
P002_WD06_00025	CDS	213				hypothetical protein
P002_WD06_00026	tRNA	71				tRNA-Cys(gca)
P002_WD06_00027	CDS	3231	rpoB			RNA polymerase beta subunit
P002_WD06_00028	CDS	2049	rpoC1			RNA polymerase beta' subunit
P002_WD06_00029	CDS	4401	rpoC2	2.7.7.6		DNA-directed RNA polymerase subunit beta'
P002_WD06_00030	CDS	711	rps2			ribosomal protein S2
P002_WD06_00031	CDS	861	atpI			ATP synthase CF0 subunit IV
P002_WD06_00032	CDS	204				hypothetical protein
P002_WD06_00033	CDS	246	atpH			ATP synthase CF0 subunit III
