locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WG08_00001	CDS	165				hypothetical protein
P002_WG08_00002	CDS	627				hypothetical protein
P002_WG08_00003	CDS	384	rpl20			ribosomal protein L20
P002_WG08_00004	CDS	243				hypothetical protein
P002_WG08_00005	CDS	603	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WG08_00006	CDS	249	ycf3_1			hypothetical chloroplast RF34
P002_WG08_00007	CDS	135	ycf3_2			hypothetical chloroplast RF34
P002_WG08_00008	tRNA	87				tRNA-Ser(gga)
P002_WG08_00009	CDS	249				hypothetical protein
P002_WG08_00010	CDS	432	infA			Translation initiation factor IF-1
P002_WG08_00011	CDS	177				hypothetical protein
P002_WG08_00012	CDS	408	rps8			ribosomal protein S8
P002_WG08_00013	CDS	369	rpl14			ribosomal protein L14
P002_WG08_00014	CDS	360	rpl16			ribosomal protein L16
P002_WG08_00015	CDS	789	rps3			ribosomal protein S3
P002_WG08_00016	CDS	420	rpl22			ribosomal protein L22
P002_WG08_00017	tRNA	74				tRNA-Asn(gtt)
P002_WG08_00018	CDS	249	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WG08_00019	CDS	390				hypothetical protein
P002_WG08_00020	CDS	345	ndhH_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit H, chloroplastic
P002_WG08_00021	tRNA	76				tRNA-Met(cat)
P002_WG08_00022	tRNA	71				tRNA-Gly(gcc)
P002_WG08_00023	CDS	189	psbZ			photosystem II protein Z
P002_WG08_00024	tRNA	88				tRNA-Ser(tga)
P002_WG08_00025	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WG08_00026	CDS	1062	psbD			photosystem II protein D2
P002_WG08_00027	tRNA	72				tRNA-Glu(ttc)
P002_WG08_00028	tRNA	84				tRNA-Tyr(gta)
P002_WG08_00029	tRNA	76				tRNA-Asp(gtc)
P002_WG08_00030	CDS	105	psbM			photosystem II protein M
P002_WG08_00031	CDS	90	petN			cytochrome b6/f complex subunit VII
P002_WG08_00032	tRNA	71				tRNA-Cys(gca)
P002_WG08_00033	CDS	3216	rpoB			RNA polymerase beta subunit
P002_WG08_00034	CDS	447	rpoC1_1			RNA polymerase beta' subunit
P002_WG08_00035	CDS	1491	rpoC1_2			RNA polymerase beta' subunit
P002_WG08_00036	CDS	4947	rpoC2	2.7.7.6		DNA-directed RNA polymerase subunit beta'
P002_WG08_00037	CDS	738	rps2			ribosomal protein S2
P002_WG08_00038	CDS	261				hypothetical protein
P002_WG08_00039	CDS	321				hypothetical protein
P002_WG08_00040	CDS	321				hypothetical protein
P002_WG08_00041	CDS	126				hypothetical protein
P002_WG08_00042	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WG08_00043	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WG08_00044	CDS	306	rps14			ribosomal protein S14
