locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WG05_00001	tRNA	75				tRNA-His(gtg)
P001_WG05_00002	CDS	1062	psbA			photosystem II protein D1
P001_WG05_00003	CDS	1512	matK			maturase K
P001_WG05_00004	CDS	243				hypothetical protein
P001_WG05_00005	CDS	219				hypothetical protein
P001_WG05_00006	tRNA	72				tRNA-Gln(ttg)
P001_WG05_00007	CDS	180	psbK			photosystem II protein K
P001_WG05_00008	tRNA	88				tRNA-Ser(gct)
P001_WG05_00009	tRNA	72				tRNA-Arg(tct)
P001_WG05_00010	CDS	891	atpA			ATP synthase CF1 alpha subunit
P001_WG05_00011	CDS	2247	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P001_WG05_00012	tRNA	80				tRNA-Leu(tag)
P001_WG05_00013	CDS	954	ccsA			cytochrome c heme attachment protein
P001_WG05_00014	CDS	1608	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P001_WG05_00015	CDS	318	psaC	1.97.1.12		Photosystem I iron-sulfur center
P001_WG05_00016	CDS	303	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P001_WG05_00017	CDS	570	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P001_WG05_00018	CDS	513	ndhI			NADH-plastoquinone oxidoreductase subunit I
P001_WG05_00019	CDS	465	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P001_WG05_00020	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P001_WG05_00021	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P001_WG05_00022	CDS	273	rps15			ribosomal protein S15
P001_WG05_00023	CDS	3474				hypothetical protein
P001_WG05_00024	CDS	1395	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P001_WG05_00025	CDS	555	ycf4			photosystem I assembly protein Ycf4
P001_WG05_00026	CDS	699	cemA			envelope membrane protein
P001_WG05_00027	CDS	963	petA			cytochrome f
P001_WG05_00028	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P001_WG05_00029	CDS	342	psbE			Cytochrome b559 subunit alpha
P001_WG05_00030	tRNA	74				tRNA-Trp(cca)
P001_WG05_00031	tRNA	76				tRNA-Pro(tgg)
P001_WG05_00032	CDS	135	psaJ			photosystem I subunit IX
P001_WG05_00033	CDS	201	rpl33			ribosomal protein L33
P001_WG05_00034	CDS	306	rps18			ribosomal protein S18
P001_WG05_00035	CDS	387	rpl20			ribosomal protein L20
P001_WG05_00036	CDS	222	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WG05_00037	CDS	225	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WG05_00038	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WG05_00039	CDS	222	psbH			photosystem II phosphoprotein
P001_WG05_00040	CDS	489	petB			cytochrome b6
P001_WG05_00041	CDS	459	petD			cytochrome b6/f complex subunit IV
P001_WG05_00042	CDS	981	rpoA			RNA polymerase alpha subunit
P001_WG05_00043	CDS	417	rps11			ribosomal protein S11
P001_WG05_00044	CDS	252				hypothetical protein
P001_WG05_00045	CDS	405	rps8			ribosomal protein S8
P001_WG05_00046	CDS	366	rpl14			ribosomal protein L14
P001_WG05_00047	CDS	249	rpl16			ribosomal protein L16
P001_WG05_00048	CDS	657	rps3			ribosomal protein S3
P001_WG05_00049	CDS	456	rpl22			ribosomal protein L22
P001_WG05_00050	CDS	279	rps19			ribosomal protein S19
P001_WG05_00051	tRNA	74				tRNA-Asn(gtt)
P001_WG05_00052	tRNA	74				tRNA-Arg(acg)
P001_WG05_00053	CDS	234				hypothetical protein
P001_WG05_00054	rRNA	3015				23S ribosomal RNA
P001_WG05_00055	CDS	204				hypothetical protein
P001_WG05_00056	rRNA	1487				16S ribosomal RNA
P001_WG05_00057	tRNA	72				tRNA-Val(gac)
P001_WG05_00058	CDS	228				hypothetical protein
P001_WG05_00059	CDS	180				hypothetical protein
