locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WD12_00001	CDS	498	rpl2			ribosomal protein L2
P002_WD12_00002	CDS	654				hypothetical protein
P002_WD12_00003	tRNA	75				tRNA-Met(cat)
P002_WD12_00004	CDS	6270				hypothetical protein
P002_WD12_00005	tRNA	83				tRNA-Leu(caa)
P002_WD12_00006	CDS	204				hypothetical protein
P002_WD12_00007	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WD12_00008	CDS	858	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WD12_00009	CDS	159				hypothetical protein
P002_WD12_00010	CDS	468	rps7			ribosomal protein S7
P002_WD12_00011	CDS	126				hypothetical protein
P002_WD12_00012	tRNA	72				tRNA-Val(gac)
P002_WD12_00013	rRNA	1487				16S ribosomal RNA
P002_WD12_00014	CDS	363				hypothetical protein
P002_WD12_00015	CDS	111				hypothetical protein
P002_WD12_00016	CDS	312				hypothetical protein
P002_WD12_00017	rRNA	3013				23S ribosomal RNA
P002_WD12_00018	tRNA	75				tRNA-Arg(acg)
P002_WD12_00019	tRNA	74				tRNA-Asn(gtt)
P002_WD12_00020	CDS	2568				hypothetical protein
P002_WD12_00021	CDS	3069				hypothetical protein
P002_WD12_00022	CDS	279	rps19			ribosomal protein S19
P002_WD12_00023	CDS	453	rpl22			ribosomal protein L22
P002_WD12_00024	CDS	657	rps3			ribosomal protein S3
P002_WD12_00025	CDS	306				hypothetical protein
P002_WD12_00026	CDS	360	rpl16			ribosomal protein L16
P002_WD12_00027	CDS	369	rpl14			ribosomal protein L14
P002_WD12_00028	CDS	405	rps8			ribosomal protein S8
P002_WD12_00029	CDS	138				hypothetical protein
P002_WD12_00030	CDS	234	infA			translational initiation factor 1
P002_WD12_00031	CDS	417	rps11			ribosomal protein S11
P002_WD12_00032	CDS	795	rpoA			RNA polymerase alpha subunit
P002_WD12_00033	CDS	459	petD			cytochrome b6/f complex subunit IV
P002_WD12_00034	CDS	714	petB			cytochrome b6
P002_WD12_00035	CDS	321	psbH			Photosystem II reaction center protein H
P002_WD12_00036	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WD12_00037	CDS	321	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WD12_00038	CDS	315				hypothetical protein
P002_WD12_00039	CDS	249	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WD12_00040	CDS	141				hypothetical protein
P002_WD12_00041	CDS	363	rplT			50S ribosomal protein L20
P002_WD12_00042	CDS	300				hypothetical protein
P002_WD12_00043	CDS	315	rps18			ribosomal protein S18
P002_WD12_00044	CDS	201	rpl33			ribosomal protein L33
P002_WD12_00045	CDS	135	psaJ			photosystem I subunit IX
P002_WD12_00046	tRNA	76				tRNA-Pro(tgg)
P002_WD12_00047	tRNA	74				tRNA-Trp(cca)
P002_WD12_00048	CDS	114	petG			cytochrome b6/f complex subunit V
P002_WD12_00049	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WD12_00050	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WD12_00051	CDS	966	petA			cytochrome f
P002_WD12_00052	CDS	690	cemA			envelope membrane protein
P002_WD12_00053	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WD12_00054	CDS	219				hypothetical protein
